#,Player,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb
68,Vatsal Vaghela,Golden State Grizzlies,4,4,16,140,7, 32/ 3,0,35,8.75,20.00,13.7,0,0,0,3,0
69,Ishwarjot Sohi,Silicon Valley Strikers,6,6,20.2,178,7, 24/ 4,0,50,8.75,25.43,17.4,0,1,0,10,1
70,Abheyender Singh,San Diego Surf Riders,8,4,8.4,77,7, 26/ 3,0,17,8.88,11.00,7.4,0,0,0,1,0
71,Sanjay Krishnamurthi,East Bay Blazers,8,8,26,139,6, 23/ 2,1,82,5.35,23.17,26,0,0,0,5,0
72,Salman Nazar,New Jersey Somerset Cavaliers,6,5,14,75,6, 18/ 3,1,51,5.36,12.50,14,0,0,0,4,0
73,Javed Zadran,San Diego Surf Riders,4,4,11,64,6, 21/ 3,0,33,5.82,10.67,11,0,0,0,17,0
74,Apurva Maheshram,New England Eagles,8,7,19,115,6, 19/ 2,1,64,6.05,19.17,19,0,0,0,4,1
75,Waqas Saleem,Michigan Cricket Stars,7,6,19.5,128,6, 20/ 2,0,40,6.45,21.33,19.8,0,0,0,2,0
76,Keshav Raval,NYC Titans,6,6,21,136,6, 23/ 2,0,77,6.48,22.67,21,0,0,0,8,0
77,Sujit Nayak,Seattle Thunderbolts,11,11,37,241,6, 31/ 2,0,93,6.51,40.17,37,0,0,0,5,0
78,Rohan Mustafa,New Jersey Stallions,5,5,17,111,6, 20/ 2,0,54,6.53,18.50,17,0,0,0,0,0
79,Deepchand Pinnaka,Chicago Tigers,5,5,14.1,94,6, 22/ 3,0,40,6.64,15.67,14.2,0,0,0,6,0
80,Viral Parekh,NYC Titans,8,8,29.2,197,6, 18/ 2,1,96,6.72,32.83,29.3,0,0,0,28,1
81,Aditya Gupta,Morrisville Raptors,5,5,12,81,6, 24/ 3,0,28,6.75,13.50,12,0,0,0,1,0
82,Rishi Shimpi,New Jersey Somerset Cavaliers,8,5,10.3,71,6, 7/ 2,0,27,6.76,11.83,10.5,0,0,0,5,0
83,Nikhil Dutta,San Diego Surf Riders,5,5,20,139,6, 18/ 2,0,39,6.95,23.17,20,0,0,0,7,0
84,Adnesh Tondale,Golden State Grizzlies,7,7,23.5,167,6, 20/ 2,0,72,7.01,27.83,23.8,0,0,0,17,1
85,Abhimanya Mithun,Michigan Cricket Stars,5,5,17,125,6, 36/ 4,0,51,7.35,20.83,17,0,1,0,5,0
86,Ayan Desai,Los Angeles Lashings,4,4,13.5,102,6, 20/ 2,0,40,7.37,17.00,13.8,0,0,0,3,0
87,Kamran Hotak,Silicon Valley Strikers,7,7,16,118,6, 22/ 2,0,41,7.38,19.67,16,0,0,0,1,0
88,Saad Humayun,Michigan Cricket Stars,5,5,16.2,128,6, 12/ 2,0,32,7.84,21.33,16.3,0,0,0,1,0
89,Abhinav Choudhary,Dallas Xforia Giants,8,7,15,122,6, 21/ 3,0,35,8.13,20.33,15,0,0,0,7,0
90,Shaik Noorbasha,Dallas Xforia Giants,4,4,13,106,6, 22/ 3,0,38,8.15,17.67,13,0,0,0,22,0
91,Jaideep Nagaraja Reddy,San Diego Surf Riders,8,6,14,148,6, 23/ 3,0,35,10.57,24.67,14,0,0,0,11,0
92,Mukhtar Ahmed,Houston Hurricanes,7,1,3.5,9,5, 9/ 5,0,15,2.35,1.80,4.6,0,0,1,0,0
93,Raj Bhavsar,Manhattan Yorkers,6,6,23,117,5, 11/ 2,1,74,5.09,23.40,27.6,0,0,0,2,0
94,Yasir Mohammad,Manhattan Yorkers,4,4,16,83,5, 18/ 2,0,56,5.19,16.60,19.2,0,0,0,4,0
95,Rushik Rajendra patel,New Jersey Stallions,5,5,15,79,5, 11/ 2,1,50,5.27,15.80,18,0,0,0,8,0
96,Abdullah Ghazi,New Jersey Somerset Cavaliers,6,6,18.1,114,5, 5/ 2,0,59,6.28,22.80,21.8,0,0,0,9,2
97,Soripul Islam,The Philadelphians,6,6,19,128,5, 17/ 2,0,57,6.74,25.60,22.8,0,0,0,6,0
98,Preet Shah,Manhattan Yorkers,6,6,14.2,97,5, 23/ 3,0,44,6.77,19.40,17.2,0,0,0,6,0
99,Juanoy Drysdale,The Philadelphians,2,2,8,55,5, 35/ 3,0,27,6.88,11.00,9.6,0,0,0,1,0
100,Pranay Suri,Silicon Valley Strikers,8,7,19,132,5, 24/ 3,0,57,6.95,26.40,22.8,0,0,0,7,0
101,Ryan Shun,NYC Titans,5,4,9,64,5, 18/ 3,0,28,7.11,12.80,10.8,0,0,0,7,0
102,Shehan Jayasuriya,Silicon Valley Strikers,7,5,14.2,103,5, 19/ 2,0,37,7.19,20.60,17.2,0,0,0,8,0
103,Gajanand Singh,New Jersey Somerset Cavaliers,11,8,19.5,145,5, 19/ 3,0,58,7.31,29.00,23.8,1,0,0,2,2
104,Abhiram Bolisetty,Morrisville Raptors,6,6,12,90,5, 15/ 2,0,32,7.50,18.00,14.4,0,0,0,11,0
105,Trevon Griffith,Morrisville Raptors,8,4,9,69,5, 23/ 2,0,19,7.67,13.80,10.8,0,0,0,0,0
106,Naseer Jamali,St. Louis Americans,4,4,16,126,5, 27/ 2,0,45,7.88,25.20,19.2,0,0,0,6,1
107,Ali Imran,New Jersey Somerset Cavaliers,6,5,11.3,92,5, 20/ 3,0,23,8.00,18.40,13.8,0,0,0,1,0
108,Akmal Hajizada,Los Angeles Lashings,6,6,19.3,159,5, 30/ 3,0,54,8.15,31.80,23.4,0,0,0,12,2
109,Nawaz Khan Katawazai,East Bay Blazers,6,6,19,156,5, 15/ 4,0,39,8.21,31.20,22.8,0,1,0,3,0
110,Nauman Anwar,St. Louis Americans,7,6,15,124,5, 41/ 3,0,31,8.27,24.80,18,0,0,0,1,0
111,Dev Thadani,Golden State Grizzlies,8,8,28.5,240,5, 27/ 2,0,68,8.32,48.00,34.6,0,0,0,7,0
112,Manav Patel,Orlando Galaxy,3,3,10,85,5, 32/ 3,0,28,8.50,17.00,12,0,0,0,9,0
113,Abhimanyu Rajp,Los Angeles Lashings,6,5,16.5,146,5, 28/ 2,0,32,8.67,29.20,20.2,0,0,0,2,0
114,Khush Bhalala,Silicon Valley Strikers,4,3,8.1,74,5, 38/ 3,0,17,9.06,14.80,9.8,0,0,0,1,0
115,Umar Farooq,Michigan Cricket Stars,7,7,21,196,5, 29/ 3,0,63,9.33,39.20,25.2,0,0,0,10,9
