#,Player,Team,Mat,Inns,NO,Runs,4's,6's,50's,100's,HS,SR,Avg
69,Ruvindu Gunasekera,San Diego Surf Riders,6,6,0,136,13,2,1,0,58,101.49,22.67
70,Gaurav bajaj,Dallas Xforia Giants,9,7,1,136,17,2,0,0,40,101.49,22.67
71,Saideep Ganesh,East Bay Blazers,12,11,2,135,14,1,1,0,52,91.22,15.00
72,Joshua Tromp,Houston Hurricanes,7,7,0,134,11,7,0,0,43,118.58,19.14
73,Adit Gorawara,Silicon Valley Strikers,8,8,2,134,9,6,0,0,33,113.56,22.33
74,Usman Ashraf,New England Eagles,6,6,0,132,14,3,0,0,47,89.80,22.00
75,Hammad Azam,Chicago Kingsmen,11,10,3,129,10,7,1,0,53,146.59,18.43
76,Shehan Jayasuriya,Silicon Valley Strikers,7,7,0,126,8,8,0,0,49,129.90,18.00
77,Ujjwal Vinnakota,St. Louis Americans,7,6,2,125,13,8,1,0,56,201.61,31.25
78,Jacobus Pienaar,Baltimore Royals,5,5,1,124,12,6,1,0,88,155.00,31.00
79,Junaid Nadir Mahsood,New Jersey Somerset Cavaliers,9,6,4,122,7,9,0,0,36,158.44,61.00
80,Chaitanya Bishnoi,Dallas Xforia Giants,10,10,2,122,14,3,0,0,28,109.91,15.25
81,Sunny Patel,Atlanta Lightning,7,6,1,118,5,8,1,0,50,132.58,23.60
82,Christopher Barnwell,Morrisville Raptors,8,8,1,116,5,5,0,0,45,100.87,16.57
83,Md Farhad Reza,New Jersey Stallions,8,7,1,115,6,8,0,0,27,111.65,19.17
84,Danesh Patel,Manhattan Yorkers,8,8,0,115,14,0,0,0,35,85.19,14.38
